Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.001000	2.509422	0.986771	43.171509	81.374939	
0.001000	0.671771	0.563306	85.300969	86.226231	
0.001000	0.429182	0.480702	89.346574	87.274500	
0.001000	0.340752	0.436553	91.590045	87.567040	
0.001000	0.287609	0.414263	92.687262	88.176499	
0.001000	0.242004	0.394687	94.195170	88.980985	
0.001000	0.205838	0.380887	95.139144	88.980985	
0.001000	0.180546	0.375528	95.923746	89.273525	
0.001000	0.157762	0.370840	96.573495	89.200390	
0.001000	0.139235	0.360977	96.971926	89.249147	
0.001000	0.119217	0.356562	97.640064	89.371039	
0.001000	0.107263	0.360115	97.995587	89.566065	
0.001000	0.091828	0.349141	98.443055	89.517309	
0.001000	0.080876	0.345429	98.755670	89.639200	
0.001000	0.071967	0.344537	98.970210	89.858606	
0.001000	0.063340	0.349331	99.129582	89.444174	
0.001000	0.055318	0.353196	99.387029	89.590444	
0.001000	0.050950	0.352956	99.331862	89.736714	
0.001000	0.047189	0.345036	99.497364	89.614822	
0.001000	0.039214	0.340690	99.656737	90.053632	
